"Country or Area","Year","Value"
"Estonia","2010","1196.22551757649"
"Estonia","2009","1165.96383799114"
"Estonia","2008","1186.78888881948"
"Estonia","2007","1205.38427472889"
"Estonia","2006","1192.55679503339"
"Estonia","2005","1208.31802315783"
"Estonia","2004","1244.9916515696"
"Estonia","2003","1232.43885615794"
"Estonia","2002","1230.69408538658"
"Estonia","2001","1273.89621035611"
"Estonia","2000","1238.80118546793"
"Estonia","1999","1200.21491588079"
"Estonia","1998","1286.16620728953"
"Estonia","1997","1330.65546087778"
"Estonia","1996","1276.70664703968"
"Estonia","1995","1263.79966818702"
"Estonia","1994","1302.4537277905"
"Estonia","1993","1345.72205055518"
"Estonia","1992","1586.56770280888"
"Estonia","1991","1829.09484794679"
"Estonia","1990","1909.60735635665"
"European Union","2016","447927.330285387"
"European Union","2015","452699.677900641"
"European Union","2014","452854.655603607"
"European Union","2013","459914.868731173"
"European Union","2012","470153.212416945"
"European Union","2011","474521.152517845"
"European Union","2010","484151.351673161"
"European Union","2009","494561.250043558"
"European Union","2008","506161.791084939"
"European Union","2007","517335.305756724"
"European Union","2006","526435.648544663"
"European Union","2005","538887.230998088"
"European Union","2004","551479.018483513"
"European Union","2003","569396.307718875"
"European Union","2002","578141.13420496"
"European Union","2001","592431.572279121"
"European Union","2000","599896.257086995"
"European Union","1999","612176.019730199"
"European Union","1998","624268.96291599"
"European Union","1997","639840.864918574"
"European Union","1996","652531.982911444"
"European Union","1995","657081.821653834"
"European Union","1994","658344.857807701"
"European Union","1993","675014.328057435"
"European Union","1992","683533.639259177"
"European Union","1991","698978.5510307"
"European Union","1990","719485.378147903"
"Finland","2016","4734.90684636885"
"Finland","2015","4873.7121205218"
"Finland","2014","4920.43092090424"
"Finland","2013","5016.95699941441"
"Finland","2012","5151.6691854619"
"Finland","2011","5202.101228731"
"Finland","2010","5373.09095160482"
"Finland","2009","5303.2831562138"
"Finland","2008","5357.57388535729"
"Finland","2007","5503.02806916056"
"Finland","2006","5640.49938943267"
"Finland","2005","5575.6142311168"
"Finland","2004","5829.46299402297"
"Finland","2003","6020.84850352102"
"Finland","2002","6235.50469587448"
"Finland","2001","6471.77873849127"
"Finland","2000","6614.2901894593"
"Finland","1999","6868.90318259221"
"Finland","1998","7022.8547605693"
"Finland","1997","7274.85464337575"
"Finland","1996","7364.02068453385"
"Finland","1995","7447.73696525226"
"Finland","1994","7657.50890285601"
"Finland","1993","7695.90572104925"
"Finland","1992","7662.01927569425"
"Finland","1991","7711.43976772807"
"Finland","1990","7746.41870617533"
"France","2016","56670.1014039779"
"France","2015","57979.43826033"
"France","2014","58718.6719355085"
"France","2013","58851.0221823138"
"France","2012","59376.2077411565"
"France","2011","60721.8574341667"
"France","2010","61900.0072204055"
"France","2009","62225.515479803"
"France","2008","63323.4633532651"
"France","2007","63245.9589077115"
